545,571,550,572,529,523,11111111,652,349,11111111
545,571,550,572,529,523,11111111,652,296,11111111
545,571,550,572,529,523,11111111,652,249,11111111
545,573,550,623,886,521,11111111,1023,211,11111111
545,573,550,618,940,520,11111111,1023,176,11111111
545,573,550,576,988,519,11111111,1023,151,11111111
545,566,550,461,990,519,11111111,1023,133,11111111
545,563,550,492,990,519,11111111,981,113,11111111
545,538,563,417,941,519,11111111,916,99,11111111
545,373,615,88,863,519,11111111,833,91,11111111
545,208,651,199,752,519,11111111,752,104,11111111
545,63,657,238,649,519,11111111,679,351,11111111
545,31,657,289,538,519,11111111,605,1001,11111111
545,25,657,271,433,519,11111111,538,1022,11111111
545,21,614,319,263,520,11111111,473,1023,11111111
545,20,508,348,165,521,11111111,402,867,11111111
545,36,366,380,106,522,11111110,337,719,11111111
545,78,247,448,42,523,11111110,281,593,11111111
547,145,169,475,33,535,11111110,225,494,11111111
555,221,118,496,9,557,11111110,164,523,11111111
582,300,86,577,5,576,11111111,77,436,11111111
637,390,66,607,2,603,11111111,4,361,11111111
700,498,57,692,39,643,01111111,0,305,11111111
762,644,56,712,103,683,01111111,0,256,11111111
829,786,57,798,191,724,01111111,0,216,11111111
910,865,57,788,377,765,01111111,0,191,11111111
1004,891,64,777,445,820,11111111,0,198,11111111
1023,928,91,787,510,867,11111111,0,177,11111111
1023,996,155,792,586,919,11111110,0,233,11111111
1023,1023,249,774,672,952,11111110,18,330,11111111
1023,1023,397,820,738,970,01111111,69,381,11111111
1023,1023,543,818,799,969,01111111,157,319,11111111
1023,1023,694,797,858,965,01111111,232,268,11111111
1023,1023,797,765,898,954,01111111,293,224,11111111
1023,1017,869,744,937,928,01111111,371,202,11111111
971,960,939,698,961,832,11111111,442,188,11111111
909,911,978,639,989,779,11111110,502,267,11111111
838,845,1017,559,999,733,11111110,569,258,11111111
755,752,1023,498,999,676,11111110,636,219,11111111
673,608,1023,424,992,622,11111110,689,185,11111111
593,518,1023,415,953,562,11111110,759,204,11111111
512,358,1023,152,905,484,01111111,856,232,11111111
433,253,1023,88,832,403,01111111,940,197,11111111
353,166,983,337,744,319,01111111,997,165,11111111
271,89,903,283,642,238,01111111,1023,314,11111111
181,54,828,2,520,157,11111111,1023,266,11111111
90,37,758,2,398,76,11111110,1023,222,11111111
0,22,669,20,304,0,11111110,1023,313,11111111
0,7,546,336,207,0,11111110,981,580,11111111
0,25,433,360,142,0,11111110,930,485,11111111
0,54,312,397,93,0,11111111,842,403,11111111
0,110,220,369,46,0,01111111,749,340,11111111
0,171,159,479,29,0,01111111,668,281,11111111
49,262,113,503,0,67,01111111,603,238,11111111
172,348,82,618,0,156,01111111,544,200,11111111
285,430,68,654,0,240,11111111,492,170,11111111
375,531,63,704,83,347,11111110,442,473,11111111
459,626,62,784,147,451,11111110,393,397,11111111
549,713,62,787,215,528,11111110,342,385,11111111
633,806,62,764,379,630,01111111,285,324,11111111
750,892,75,773,465,749,01111111,224,342,11111111
866,963,124,771,706,810,01111111,161,368,11111111
931,1023,216,818,787,862,01111111,99,310,11111111
985,1023,324,799,829,922,01111111,46,257,11111111
1023,1023,429,774,890,1003,01111111,5,217,11111111
1023,1023,532,752,936,1023,11111110,0,952,11111111
1023,1023,631,697,960,1023,11111110,0,788,11111111
1023,1023,711,681,986,1023,11111110,0,785,11111111
1023,1023,805,572,996,1023,11111110,0,650,11111111
1023,1020,882,540,997,1023,11111110,0,536,11111111
1023,973,936,501,997,1023,01111111,11,447,11111111
1009,938,970,286,979,1012,01111111,72,372,11111111
956,886,996,416,940,964,11111111,162,408,11111111
871,820,1023,280,874,905,11111111,251,340,11111111
772,726,1023,325,752,844,11111110,338,681,11111111
678,591,1023,30,626,778,11111110,487,648,11111111
581,480,1023,2,484,716,11111110,570,539,11111111
418,350,1023,2,359,590,11111110,653,446,11111111
336,266,1023,20,287,528,11111111,734,370,11111111
215,190,1018,336,229,454,01111111,805,309,11111111
136,137,967,77,178,384,01111111,876,401,11111111
33,85,906,353,148,310,01111111,955,753,11111111
0,66,862,174,102,245,01111111,1023,623,11111111
0,45,794,422,66,179,01111111,1023,516,11111111
0,28,703,455,41,110,11111110,1023,430,11111111
0,20,620,506,14,32,11111110,1023,1011,11111111
0,19,516,552,0,0,11111110,1023,1022,11111111
0,40,387,620,0,0,11111110,1023,1009,11111111
0,80,267,717,43,0,11111111,963,917,11111111
0,148,189,694,107,0,01111111,882,810,11111111
0,232,133,770,186,0,01111111,777,670,11111111
12,321,93,820,277,56,01111111,681,553,11111111
74,400,76,781,342,121,01111111,599,464,11111111
160,453,67,769,473,195,11111111,490,382,11111111
255,508,63,820,604,274,11111110,410,508,11111111
341,561,62,950,697,343,11111110,338,425,11111111
396,629,62,829,761,424,11111110,269,355,11111111
450,730,62,799,818,502,01111110,199,297,11111111
509,826,62,896,861,555,01111111,142,253,11111111
558,907,100,764,896,602,01111111,81,211,11111111
603,991,207,715,931,674,11111111,4,180,11111111
650,1023,334,712,953,734,11111111,0,153,11111111
690,1023,519,573,995,781,11111111,0,133,11111111
736,1023,645,492,995,844,11111111,0,116,11111111
800,1023,744,500,995,912,11111111,0,100,11111111
863,1023,829,434,965,979,11110111,0,91,11111111
911,996,889,426,929,1023,11110111,0,79,11111111
961,955,951,358,879,1023,11110111,0,74,11111111
1022,853,1017,79,816,1023,11110111,0,76,11111111
1023,761,1023,340,737,1023,11110111,38,84,11111111
1023,581,1023,9,635,1023,11110111,92,73,11111111
1023,392,1023,2,518,1023,11101111,175,73,11111111
1023,283,1023,2,383,1023,11101111,257,82,11111111
1012,236,1023,322,252,993,11111111,332,72,11111111
964,171,1021,358,142,946,11111111,410,73,11111111
891,133,973,392,95,883,11110111,493,83,11111111
809,100,931,281,51,813,11110111,571,78,11111111
710,66,860,475,31,743,11110111,637,79,11111111
617,49,801,559,0,671,11110111,723,72,11111111
539,34,727,608,0,601,11101111,803,78,11111111
371,24,623,674,0,447,11101111,862,75,11111111
291,21,523,706,72,371,11101111,938,72,11111111
215,35,424,691,142,286,11101111,1016,75,11111111
